t_state,t_county,eia_id,p_year,p_tnum,p_cap,t_hh,t_rd,t_rsa,t_ttlh,xlong,ylat,ordinance
IA,Hancock,56923,2008,100,150.0,80.0,91.0,6503.88,125.6,-93.85358615,43.19518854,0
IA,Hardin,56924,2009,100,150.0,80.0,77.0,4656.63,118.6,-93.425888,42.30157175,0
IA,Hardin,57469,2009,100,150.0,80.0,77.0,4656.63,118.6,-93.40951076712328,42.245897684931506,0
IA,Henry,58414,2011,1,1.5,85.0,82.3,5319.73,126.2,-91.395172,40.954773,0
IA,Howard,56797,2009,120,198.0,80.0,82.0,5281.02,121.0,-92.52805508695651,43.46834747826087,0
IA,Howard,56831,2009,66,99.0,80.0,77.0,4656.63,118.6,-92.48494877272726,43.405343424242425,0
IA,Howard,61070,2019,33,66.0,94.0,116.0,10568.32,152.1,-92.33731015151514,43.37790860606061,0
IA,Ida,60342,2016,134,301.06,80.0,114.32835820895522,10284.73223880597,137.2641791044776,-95.41686615671642,42.31372873880597,1
IA,Ida,62795,2019,81,202.36,88.11111111111111,125.91358024691358,12460.344814814816,150.98765432098764,-95.47182277777777,42.41445818518518,1
IA,Iowa,63641,2020,46,168.8,97.33766233766234,126.66233766233766,12683.59857142857,160.67922077922077,-92.18080333766234,41.696084103896105,1
IA,Kossuth,57251,2009,7,10.5,80.0,77.0,4656.63,118.6,-94.13583700000001,43.37645828571429,1
IA,Kossuth,62081,2020,82,199.82,85.79661016949153,123.08474576271186,11920.456610169493,147.31016949152541,-94.02471661016949,43.39785789830509,1
IA,Kossuth,62103,2020,56,152.2,87.23214285714286,124.83928571428571,12255.313750000001,149.59107142857144,-94.09881973214286,42.99165,1
IA,Linn,59735,2012,1,2.5,80.0,96.0,7238.23,128.0,-91.650894,41.916592,0
IA,Madison,58885,2014,51,119.65,80.0,108.0,9160.88,134.1,-94.13772862745098,41.205640196078434,1
IA,Mahaska,60873,2018,82,164.0,95.0,110.0,9503.32,150.0,-92.69038127380952,41.449236988095244,0
IA,Marshall,57500,2011,52,123.36,80.0,101.0,8011.85,130.5,-92.98377525000001,41.89179051923077,0
IA,Marshall,57874,2013,45,105.75,80.0,108.0,9160.88,134.1,-92.81309534090909,42.159397090909096,0
IA,Mitchell,1172,2009,1,1.5,80.0,77.0,4656.63,118.6,-92.840591,43.292492,0
IA,Mitchell,56797,2009,120,198.0,80.0,82.0,5281.02,121.0,-92.65673921323528,43.472635139705886,0
IA,Mitchell,58038,2011,1,1.5,85.0,82.0,5281.02,125.9,-92.760696,43.384392,0
IA,Mitchell,61638,2018,56,199.2,82.0,136.0,14526.72,150.0,-92.84340155357143,43.425438285714286,0
IA,O'Brien,58883,2015,211,495.01,80.0,108.0,9160.88,134.1,-95.58760938785046,43.05824463551402,1
IA,O'Brien,60326,2016,104,250.26,80.0,108.0,9160.88,134.1,-95.59947766019417,43.19931420388349,1
IA,Osceola,56645,2008,30,73.2,80.0,116.0,10568.32,138.1,-95.44218997499999,43.450657675,1
IA,Osceola,56913,2008,30,73.2,80.0,116.0,10568.32,138.1,-95.46165285,43.4325599,1
IA,Palo Alto,56859,2007,10,21.0,79.0,88.0,6082.12,123.09999999999998,-94.89407011111112,43.069769111111114,1
IA,Palo Alto,63053,2020,125,250.0,95.0,110.0,9503.32,150.0,-94.54622557988165,43.19873046153846,1
IA,Plymouth,64688,2021,73,202.74,88.13698630136986,125.94520547945206,12466.380547945206,151.02876712328768,-95.92575178082193,42.826893315068496,1
IA,Pocahontas,56501,2011,82,125.88,80.0,91.76988636363636,6616.353977272727,126.03068181818183,-94.7510197840909,42.59787227272727,0
IA,Pocahontas,57976,2012,40,83.2,100.0,110.0,9503.32,155.1,-94.608149125,42.5979445,0
IA,Pottawattamie,56811,2008,102,165.24,80.0,91.5,6575.55,125.9,-95.22941535294117,41.4594564509804,1
IA,Poweshiek,61565,2019,69,170.3,87.56521739130434,125.2463768115942,12333.007826086958,150.12028985507249,-92.40517923188406,41.548192695652176,1
